ContestId,TabulatorId,BatchId,RecordId,PrecinctId,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,34,1,95,95,7,4,12,8,5
1,34,1,96,96,12,5,4,1,3
1,34,1,97,97,9,12,8,5,4
1,34,1,98,98,8,11,5,9,7
1,34,1,99,99,undervote,undervote,undervote,undervote,undervote
1,34,1,100,100,7,9,1,5,12
1,18,1,1,1,5,11,9,8,1
1,18,1,2,2,5,4,9,7,1
1,18,1,3,3,4,12,1,7,5
1,18,1,4,4,4,11,3,12,5
1,18,1,5,5,12,8,3,7,9
1,18,1,6,6,5,4,7,1,11
1,18,1,7,7,5,3,9,8,11
1,18,1,8,8,9,12,8,1,7
1,18,1,9,9,4,8,9,3,11
1,18,1,10,10,1,9,11,8,12
1,18,1,11,11,11,8,3,7,9
1,18,1,12,12,undervote,undervote,undervote,undervote,undervote
1,18,1,13,13,3,12,4,8,5
1,18,1,14,14,undervote,undervote,undervote,undervote,undervote
1,18,1,15,15,12,5,3,4,9
1,18,1,16,16,1,4,8,7,12
1,18,1,17,17,7,8,11,12,3
1,18,1,18,18,9,11,12,7,4
1,18,1,19,19,undervote,undervote,undervote,undervote,undervote
1,18,1,20,20,4,1,8,5,12
1,18,1,21,21,7,4,8,3,9
1,18,1,22,22,7,3,5,9,12
1,18,1,23,23,1,12,8,7,5
1,18,1,24,24,overvote,4,5,9,9
1,18,1,25,25,11,1,7,12,5
1,18,1,26,26,4,7,5,9,1
1,18,1,27,27,12,4,7,1,3
1,18,1,28,28,3,12,7,4,9
1,18,1,29,29,9,4,1,3,11
1,18,1,30,30,9,12,5,8,11
1,18,1,31,31,3,12,1,4,11
1,18,1,32,32,3,7,9,5,8
1,18,1,33,33,3,1,12,8,7
1,18,1,34,34,7,1,3,8,4
1,18,1,35,35,7,12,5,4,1
1,18,1,36,36,3,12,1,4,7
1,18,1,37,37,1,12,9,7,4
1,18,1,38,38,9,11,1,12,4
1,18,1,39,39,12,9,8,1,7
1,18,1,40,40,1,3,11,9,4
1,18,1,41,41,9,11,3,7,12
1,18,1,42,42,undervote,undervote,undervote,undervote,undervote
1,18,1,43,43,3,11,9,8,4
1,18,1,44,44,undervote,undervote,undervote,undervote,undervote
1,18,1,45,45,7,1,8,5,3
1,18,1,46,46,4,12,11,1,5
1,18,1,47,47,3,11,9,5,1
1,18,1,48,48,7,3,8,5,1
1,18,1,49,49,11,5,3,12,9
1,18,1,50,50,12,4,8,3,11
1,18,1,51,51,1,11,9,3,8
1,18,1,52,52,5,9,1,4,12
1,18,1,53,53,12,5,4,11,3
1,18,1,54,54,8,11,5,7,9
1,18,1,55,55,9,7,12,8,5
1,18,1,56,56,3,9,7,5,1
1,18,1,57,57,4,12,5,11,3
1,18,1,58,58,9,4,3,12,11
1,18,1,59,59,4,1,8,9,11
1,18,1,60,60,4,3,8,7,9
1,18,1,61,61,9,3,12,11,8
1,18,1,62,62,4,12,3,5,7
1,18,1,63,63,9,7,1,12,5
1,18,1,64,64,7,3,1,11,9
1,18,1,65,65,11,3,8,12,7
1,18,1,66,66,3,9,7,1,12
1,18,1,67,67,3,9,1,8,7
1,18,1,68,68,12,3,5,9,1
1,18,1,69,69,4,12,11,1,9
1,18,1,70,70,5,3,7,1,11
1,18,1,71,71,1,12,4,9,8
1,18,1,72,72,5,7,3,4,8
1,18,1,73,73,3,9,11,1,4
1,18,1,74,74,12,9,4,7,11
1,18,1,75,75,7,9,12,8,11
1,18,1,76,76,7,1,8,12,11
1,18,1,77,77,9,11,overvote,12,3
1,18,1,78,78,5,11,8,4,9
1,18,1,79,79,9,3,11,7,5
1,18,1,80,80,1,7,9,3,8
1,18,1,81,81,7,1,11,12,3
1,18,1,82,82,12,1,11,4,8
1,18,1,83,83,undervote,undervote,undervote,undervote,undervote
1,18,1,84,84,11,8,1,4,7
1,18,1,85,85,9,1,5,12,8
1,18,1,86,86,5,12,11,9,4
1,18,1,87,87,9,12,3,4,5
1,18,1,88,88,11,4,12,7,8
1,18,1,89,89,undervote,undervote,undervote,undervote,undervote
1,18,1,90,90,8,11,3,9,5
1,18,1,91,91,4,7,9,11,3
1,18,1,92,92,11,7,5,1,9
1,18,1,93,93,5,12,7,3,11
1,18,1,94,94,7,12,1,11,5
1,18,1,95,95,7,5,11,9,1
1,18,1,96,96,3,7,4,9,12
1,18,1,97,97,5,4,3,1,9
1,18,1,98,98,11,7,5,4,12
1,18,1,99,99,12,3,7,11,8
1,18,1,100,100,7,3,5,4,1
1,10,1,1,1,4,3,11,12,7
1,10,1,2,2,5,7,1,9,4
1,10,1,3,3,7,11,4,3,12
1,10,1,4,4,11,8,3,7,4
1,10,1,5,5,9,8,7,4,5
1,10,1,6,6,4,12,5,7,1
1,10,1,7,7,12,5,4,7,3
1,10,1,8,8,4,11,3,8,7
1,10,1,9,9,7,11,3,1,4
1,10,1,10,10,9,5,1,12,11
1,10,1,11,11,9,8,11,4,5
1,10,1,12,12,11,12,9,1,7
1,10,1,13,13,8,5,1,11,4
1,10,1,14,14,3,7,5,4,11
1,10,1,15,15,12,3,9,7,8
1,10,1,16,16,9,11,1,7,5
1,10,1,17,17,8,3,12,7,9
1,10,1,18,18,1,3,11,5,4
1,10,1,19,19,5,3,4,12,9
1,10,1,20,20,12,1,8,9,3
1,10,1,21,21,11,9,1,7,5
1,10,1,22,22,8,5,11,3,9
1,10,1,23,23,1,11,4,9,12
1,10,1,24,24,7,3,8,11,9
1,10,1,25,25,12,8,1,7,3
1,10,1,26,26,undervote,undervote,undervote,undervote,undervote
1,10,1,27,27,undervote,undervote,undervote,undervote,undervote
1,10,1,28,28,5,11,4,8,7
1,10,1,29,29,7,12,5,11,1
1,10,1,30,30,8,4,3,5,7
1,10,1,31,31,4,5,1,12,9
1,10,1,32,32,4,11,1,5,12
1,10,1,33,33,3,9,8,4,7
1,10,1,34,34,4,8,9,3,1
1,10,1,35,35,12,4,3,1,8
1,10,1,36,36,11,7,4,12,5
1,10,1,37,37,12,7,8,5,3
1,10,1,38,38,undervote,undervote,undervote,undervote,undervote
1,10,1,39,39,11,7,5,1,12
1,10,1,40,40,8,4,7,5,12
1,10,1,41,41,5,7,8,3,1
1,10,1,42,42,11,4,12,1,8
1,10,1,43,43,12,11,4,1,3
1,10,1,44,44,12,5,9,7,7
1,10,1,45,45,4,11,5,12,7
1,10,1,46,46,8,12,11,1,3
1,10,1,47,47,1,7,5,8,3
1,10,1,48,48,4,8,9,7,11
1,10,1,49,49,11,7,4,3,12
1,10,1,50,50,4,7,1,9,5
1,10,1,51,51,5,12,8,3,7
1,10,1,52,52,11,1,7,12,9
1,10,1,53,53,12,1,9,4,11
1,10,1,54,54,1,9,12,5,3
1,10,1,55,55,5,3,8,11,9
1,10,1,56,56,9,3,1,7,12
1,10,1,57,57,1,12,9,11,4
1,10,1,58,58,4,12,5,8,1
1,10,1,59,59,8,7,9,5,1
1,10,1,60,60,3,1,8,11,9
1,10,1,61,61,5,8,12,3,1
1,10,1,62,62,1,12,3,4,7
1,10,1,63,63,7,9,11,3,12
1,10,1,64,64,12,8,9,1,4
1,10,1,65,65,7,8,11,4,1
1,10,1,66,66,8,5,12,3,1
1,10,1,67,67,3,1,9,8,7
1,10,1,68,68,4,3,7,5,8
1,10,1,69,69,7,5,12,11,4
1,10,1,70,70,12,9,1,3,11
1,10,1,71,71,12,7,9,11,1
1,10,1,72,72,7,11,8,9,5
1,10,1,73,73,5,1,12,3,7
1,10,1,74,74,7,1,9,4,12
1,10,1,75,75,9,7,1,11,3
1,10,1,76,76,7,11,12,8,9
1,10,1,77,77,1,3,11,8,7
1,10,1,78,78,5,1,12,11,3
1,10,1,79,79,12,3,9,1,11
1,10,1,80,80,7,12,11,5,3
1,10,1,81,81,undervote,undervote,undervote,undervote,undervote
1,10,1,82,82,11,5,4,8,3
1,10,1,83,83,8,5,11,1,12
1,10,1,84,84,5,1,3,8,7
1,10,1,85,85,8,12,11,5,7
1,10,1,86,86,12,5,7,1,8
1,10,1,87,87,11,8,1,4,3
1,10,1,88,88,4,7,8,3,11
1,10,1,89,89,4,7,11,5,1
1,10,1,90,90,8,12,4,1,9
1,10,1,91,91,1,11,8,4,7
1,10,1,92,92,5,12,9,7,4
1,10,1,93,93,9,12,3,8,7
1,10,1,94,94,7,1,5,4,12
1,10,1,95,95,12,4,7,8,1
1,10,1,96,96,3,7,11,1,8
1,10,1,97,97,8,12,4,9,7
1,10,1,98,98,1,7,5,11,8
1,10,1,99,99,9,1,3,7,12
1,10,1,100,100,9,8,3,1,12
1,50,1,1,1,4,11,8,9,7
1,50,1,2,2,4,7,5,12,8
1,50,1,3,3,12,11,1,7,8
1,50,1,4,4,1,4,8,9,12
1,50,1,5,5,11,3,1,4,12
1,50,1,6,6,3,7,9,1,5
1,50,1,7,7,5,8,1,3,4
1,50,1,8,8,undervote,undervote,undervote,undervote,undervote
1,50,1,9,9,7,11,12,8,5
1,50,1,10,10,5,11,4,12,7
1,50,1,11,11,7,9,1,5,11
1,50,1,12,12,1,3,11,12,4
1,50,1,13,13,8,7,11,9,5
1,50,1,14,14,3,5,4,8,11
1,50,1,15,15,3,8,7,4,5
1,50,1,16,16,8,3,12,1,11
1,50,1,17,17,5,11,1,4,3
1,50,1,18,18,12,9,4,7,8
1,50,1,19,19,3,12,9,7,1
1,50,1,20,20,8,1,12,5,9
1,50,1,21,21,11,overvote,4,9,12
1,50,1,22,22,undervote,undervote,undervote,undervote,undervote
1,50,1,23,23,4,8,3,9,1
1,50,1,24,24,11,3,12,1,4
1,50,1,25,25,undervote,undervote,undervote,undervote,undervote
1,50,1,26,26,3,12,4,11,9
1,50,1,27,27,1,3,12,5,11
1,50,1,28,28,8,12,5,7,3
1,50,1,29,29,12,3,11,5,9
1,50,1,30,30,1,3,7,5,9
1,50,1,31,31,12,5,1,8,11
1,50,1,32,32,4,3,7,1,5
1,50,1,33,33,9,12,8,3,5
1,50,1,34,34,12,3,11,1,8
1,50,1,35,35,9,7,12,11,1
1,50,1,36,36,1,4,11,12,3
1,50,1,37,37,undervote,undervote,undervote,undervote,undervote
1,50,1,38,38,1,7,9,3,5
1,50,1,39,39,7,11,4,9,5
1,50,1,40,40,11,7,5,8,4
1,50,1,41,41,12,3,7,1,9
1,50,1,42,42,9,1,3,5,11
1,50,1,43,43,9,5,7,4,11
1,50,1,44,44,3,4,9,7,8
1,50,1,45,45,1,5,4,9,3
1,50,1,46,46,4,8,5,12,7
1,50,1,47,47,12,7,8,11,1
1,50,1,48,48,4,9,12,5,11
1,50,1,49,49,7,3,12,4,1
1,50,1,50,50,1,11,3,7,9
1,50,1,51,51,8,5,1,9,12
1,50,1,52,52,8,11,4,9,1
1,50,1,53,53,12,3,8,4,11
1,50,1,54,54,5,3,8,4,12
1,50,1,55,55,8,11,4,12,7
1,50,1,56,56,1,4,8,7,3
1,50,1,57,57,9,4,1,8,12
1,50,1,58,58,1,11,9,8,12
1,50,1,59,59,undervote,12,8,5,3
1,50,1,60,60,9,1,8,11,12
1,50,1,61,61,12,5,4,9,11
1,50,1,62,62,7,1,11,8,5
1,50,1,63,63,1,11,5,4,9
1,50,1,64,64,12,5,8,undervote,9
1,50,1,65,65,8,11,1,3,5
1,50,1,66,66,11,5,3,8,9
1,50,1,67,67,1,5,8,7,3
1,50,1,68,68,5,11,3,12,7
1,50,1,69,69,8,11,12,1,5
1,50,1,70,70,1,3,11,7,12
1,50,1,71,71,12,3,7,8,9
1,50,1,72,72,undervote,undervote,undervote,undervote,undervote
1,50,1,73,73,9,1,7,4,3
1,50,1,74,74,1,11,9,12,8
1,50,1,75,75,8,12,11,9,4
1,50,1,76,76,5,11,1,9,4
1,50,1,77,77,1,12,9,11,8
1,50,1,78,78,11,3,12,7,5
1,50,1,79,79,12,7,11,4,5
1,50,1,80,80,12,9,8,4,5
1,50,1,81,81,9,4,12,8,11
1,50,1,82,82,undervote,undervote,undervote,undervote,undervote
1,50,1,83,83,8,11,5,3,9
1,50,1,84,84,7,4,1,8,12
1,50,1,85,85,8,1,4,3,7
1,50,1,86,86,undervote,undervote,undervote,undervote,undervote
1,50,1,87,87,7,12,5,3,8
1,50,1,88,88,12,1,5,3,4
1,50,1,89,89,5,12,1,11,9
1,50,1,90,90,3,1,12,4,5
1,50,1,91,91,8,4,12,3,1
1,50,1,92,92,8,3,4,7,1
1,50,1,93,93,4,8,7,3,9
1,50,1,94,94,4,12,1,9,8
1,50,1,95,95,11,9,1,5,4
1,50,1,96,96,12,3,7,11,1
1,50,1,97,97,4,11,9,5,7
1,50,1,98,98,9,8,1,5,12
1,50,1,99,99,9,8,5,7,1
1,50,1,100,100,11,9,1,4,7
1,26,1,1,1,4,11,7,12,3
1,26,1,2,2,3,9,8,11,12
1,26,1,3,3,11,5,9,12,1
1,26,1,4,4,undervote,undervote,undervote,undervote,undervote
1,26,1,5,5,1,9,8,5,3
1,26,1,6,6,1,11,5,7,12
1,26,1,7,7,3,11,12,9,8
1,26,1,8,8,3,11,7,9,1
1,26,1,9,9,1,7,11,5,4
1,26,1,10,10,4,12,8,9,3
1,26,1,11,11,3,12,5,11,7
1,26,1,12,12,8,5,1,7,3
1,26,1,13,13,7,8,3,11,1
1,26,1,14,14,3,9,4,8,1
1,26,1,15,15,11,4,8,5,3
1,26,1,16,16,1,9,4,11,5
1,26,1,17,17,9,1,4,7,5
1,26,1,18,18,12,7,9,8,1
1,26,1,19,19,7,3,11,1,5
1,26,1,20,20,4,12,5,1,3
1,26,1,21,21,5,12,3,1,9
1,26,1,22,22,9,1,5,4,12
1,26,1,23,23,11,4,3,12,1
1,26,1,24,24,5,3,4,7,9
1,26,1,25,25,undervote,undervote,undervote,undervote,undervote
1,26,1,26,26,9,4,5,8,11
1,26,1,27,27,8,11,1,5,3
1,26,1,28,28,undervote,undervote,undervote,undervote,undervote
1,26,1,29,29,5,4,8,1,12
1,26,1,30,30,12,11,3,7,4
1,26,1,31,31,4,3,1,12,5
1,26,1,32,32,8,12,9,3,7
1,26,1,33,33,12,9,7,4,1
1,26,1,34,34,3,7,4,5,8
1,26,1,35,35,5,3,12,4,9
1,26,1,36,36,8,12,1,3,11
1,26,1,37,37,12,7,11,4,3
1,26,1,38,38,5,4,1,12,7
1,26,1,39,39,9,4,3,8,11
1,26,1,40,40,11,5,8,12,3
1,26,1,41,41,undervote,undervote,undervote,undervote,undervote
1,26,1,42,42,1,7,4,8,9
1,26,1,43,43,1,12,4,11,9
1,26,1,44,44,undervote,undervote,undervote,undervote,undervote
1,26,1,45,45,8,5,3,7,12
1,26,1,46,46,8,9,1,12,11
1,26,1,47,47,9,3,12,1,5
1,26,1,48,48,11,7,1,12,9
1,26,1,49,49,undervote,undervote,undervote,undervote,undervote
1,26,1,50,50,3,4,9,8,1
1,26,1,51,51,undervote,undervote,undervote,undervote,undervote
1,26,1,52,52,9,5,4,8,11
1,26,1,53,53,5,7,9,8,4
1,26,1,54,54,7,9,3,5,11
1,26,1,55,55,11,3,4,9,8
1,26,1,56,56,7,5,1,8,12
1,26,1,57,57,1,3,9,12,11
1,26,1,58,58,11,1,9,5,8
1,26,1,59,59,9,3,12,11,8
1,26,1,60,60,8,1,9,5,12
1,26,1,61,61,5,7,3,8,11
1,26,1,62,62,1,3,4,9,8
1,26,1,63,63,3,5,9,7,4
1,26,1,64,64,8,1,3,12,4
1,26,1,65,65,undervote,4,12,9,1
1,26,1,66,66,3,9,11,4,12
1,26,1,67,67,4,5,9,8,11
1,26,1,68,68,12,7,3,1,4
1,26,1,69,69,8,9,7,12,11
1,26,1,70,70,11,12,7,5,8
1,26,1,71,71,1,7,4,9,3
1,26,1,72,72,8,11,4,3,9
1,26,1,73,73,1,3,8,11,9
1,26,1,74,74,9,1,12,3,4
1,26,1,75,75,12,11,8,5,7
1,26,1,76,76,undervote,undervote,undervote,undervote,undervote
1,26,1,77,77,11,5,4,3,1
1,26,1,78,78,9,11,8,1,7
1,26,1,79,79,9,11,5,3,12
1,26,1,80,80,5,1,9,11,3
1,26,1,81,81,12,3,1,8,9
1,26,1,82,82,11,8,12,4,5
1,26,1,83,83,11,1,7,4,8
1,26,1,84,84,9,4,5,3,11
1,26,1,85,85,11,7,1,8,4
1,26,1,86,86,12,9,4,11,8
1,26,1,87,87,7,8,12,9,5
1,26,1,88,88,undervote,undervote,undervote,undervote,undervote
1,26,1,89,89,11,5,12,7,9
1,26,1,90,90,4,12,9,7,5
1,26,1,91,91,3,5,11,4,1
1,26,1,92,92,7,1,12,11,9
1,26,1,93,93,1,9,12,8,4
1,26,1,94,94,9,12,5,4,8
1,26,1,95,95,undervote,undervote,undervote,undervote,undervote
1,26,1,96,96,undervote,undervote,undervote,undervote,undervote
1,26,1,97,97,5,4,12,11,1
1,26,1,98,98,4,3,7,12,1
1,26,1,99,99,3,1,7,12,11
1,26,1,100,100,7,11,5,9,12
1,17,1,1,1,5,9,11,4,7
1,17,1,2,2,4,12,7,9,5
1,17,1,3,3,11,4,5,7,3
1,17,1,4,4,4,9,1,3,12
1,17,1,5,5,5,8,9,12,4
1,17,1,6,6,12,11,3,5,1
1,17,1,7,7,5,11,7,1,4
1,17,1,8,8,8,1,undervote,5,9
1,17,1,9,9,11,4,9,3,8
1,17,1,10,10,7,12,5,4,8
1,17,1,11,11,11,3,8,1,5
1,17,1,12,12,12,4,1,9,11
1,17,1,13,13,undervote,undervote,undervote,undervote,undervote
1,17,1,14,14,8,4,7,5,11
1,17,1,15,15,7,11,4,12,9
1,17,1,16,16,3,4,12,1,5
1,17,1,17,17,12,5,11,1,4
1,17,1,18,18,3,9,12,1,11
1,17,1,19,19,3,1,9,4,8
1,17,1,20,20,7,4,5,9,11
1,17,1,21,21,4,5,9,7,11
1,17,1,22,22,9,7,3,12,5
1,17,1,23,23,5,3,11,7,1
1,17,1,24,24,12,7,4,9,5
1,17,1,25,25,8,1,9,5,7
1,17,1,26,26,9,4,11,8,1
1,17,1,27,27,8,9,4,11,3
1,17,1,28,28,9,1,4,3,8
1,17,1,29,29,4,12,1,11,5
1,17,1,30,30,8,5,3,12,11
1,17,1,31,31,7,4,3,11,1
1,17,1,32,32,7,9,5,11,4
1,17,1,33,33,1,7,9,12,4
1,17,1,34,34,11,8,12,3,9
1,17,1,35,35,4,9,8,3,7
1,17,1,36,36,1,9,12,3,5
1,17,1,37,37,4,5,3,9,8
1,17,1,38,38,4,1,3,5,12
1,17,1,39,39,1,12,8,9,4
1,17,1,40,40,3,9,12,11,7
1,17,1,41,41,8,11,5,4,12
1,17,1,42,42,8,9,11,1,5
1,17,1,43,43,8,5,11,4,1
1,17,1,44,44,7,1,9,8,11
1,17,1,45,45,3,11,1,12,5
1,17,1,46,46,8,3,1,9,11
1,17,1,47,47,3,11,12,8,5
1,17,1,48,48,7,4,9,12,11
1,17,1,49,49,9,3,8,1,5
1,17,1,50,50,undervote,undervote,undervote,undervote,undervote
1,17,1,51,51,3,5,4,12,1
1,17,1,52,52,4,9,12,1,7
1,17,1,53,53,3,7,5,11,9
1,17,1,54,54,4,5,8,7,1
1,17,1,55,55,9,7,12,11,4
1,17,1,56,56,12,7,8,11,5
1,17,1,57,57,4,12,3,8,11
1,17,1,58,58,undervote,undervote,undervote,undervote,undervote
1,17,1,59,59,4,9,3,8,5
1,17,1,60,60,11,12,3,1,9
1,17,1,61,61,3,7,5,11,9
1,17,1,62,62,12,5,3,4,1
1,17,1,63,63,9,11,1,12,7
1,17,1,64,64,11,12,3,7,8
1,17,1,65,65,4,8,3,9,5
1,17,1,66,66,1,4,7,12,5
1,17,1,67,67,1,9,11,5,8
1,17,1,68,68,12,8,9,1,4
1,17,1,69,69,9,3,7,12,1
1,17,1,70,70,11,9,12,7,4
1,17,1,71,71,11,3,4,12,1
1,17,1,72,72,7,12,9,7,5
1,17,1,73,73,12,7,5,1,8
1,17,1,74,74,8,12,7,9,11
1,17,1,75,75,3,4,7,9,5
1,17,1,76,76,11,12,4,9,5
1,17,1,77,77,4,1,5,11,3
1,17,1,78,78,3,8,12,7,4
1,17,1,79,79,undervote,undervote,undervote,undervote,undervote
1,17,1,80,80,8,4,9,5,3
1,17,1,81,81,8,12,3,7,4
1,17,1,82,82,7,4,9,5,3
1,17,1,83,83,4,9,3,7,11
1,17,1,84,84,1,3,11,8,5
1,17,1,85,85,8,7,11,9,12
1,17,1,86,86,undervote,undervote,undervote,undervote,undervote
1,17,1,87,87,12,5,1,3,8
1,17,1,88,88,9,5,11,1,4
1,17,1,89,89,5,8,7,12,4
1,17,1,90,90,4,9,1,5,8
1,17,1,91,91,3,9,1,12,8
1,17,1,92,92,1,5,8,7,3
1,17,1,93,93,1,11,4,5,9
1,17,1,94,94,8,7,11,overvote,3
1,17,1,95,95,7,11,1,9,1
1,17,1,96,96,4,11,3,7,1
1,17,1,97,97,1,11,8,12,9
1,17,1,98,98,3,4,5,9,7
1,17,1,99,99,8,7,4,3,9
1,17,1,100,100,11,8,7,3,9
1,49,1,1,1,9,8,5,12,3
1,49,1,2,2,5,1,12,4,8
1,49,1,3,3,12,8,1,3,5
1,49,1,4,4,5,12,3,1,8
1,49,1,5,5,12,3,11,7,9
1,49,1,6,6,11,9,5,8,1
1,49,1,7,7,undervote,undervote,undervote,undervote,undervote
1,49,1,8,8,4,1,8,9,12
1,49,1,9,9,12,11,3,7,4
1,49,1,10,10,8,5,7,3,9
1,49,1,11,11,9,3,5,8,7
1,49,1,12,12,3,8,11,5,12
1,49,1,13,13,7,8,3,9,11
1,49,1,14,14,1,7,8,3,11
1,49,1,15,15,5,9,3,7,8
1,49,1,16,16,undervote,undervote,undervote,undervote,undervote
1,49,1,17,17,undervote,undervote,undervote,undervote,undervote
1,49,1,18,18,3,11,7,9,5
1,49,1,19,19,11,12,9,5,3
1,49,1,20,20,11,3,9,7,8
1,49,1,21,21,8,3,9,7,4
1,49,1,22,22,1,3,8,11,9
1,49,1,23,23,5,12,11,9,3
1,49,1,24,24,12,1,8,9,7
1,49,1,25,25,undervote,undervote,undervote,undervote,undervote
1,49,1,26,26,undervote,undervote,undervote,undervote,undervote
1,49,1,27,27,4,1,11,8,12
1,49,1,28,28,9,12,5,7,4
1,49,1,29,29,4,8,1,5,7
1,49,1,30,30,9,3,12,1,4
1,49,1,31,31,7,12,1,3,11
1,49,1,32,32,4,8,7,1,9
1,49,1,33,33,1,9,11,3,8
1,49,1,34,34,5,4,3,9,8
1,49,1,35,35,1,11,4,5,12
1,49,1,36,36,5,4,12,1,7
1,49,1,37,37,11,7,12,9,4
1,49,1,38,38,12,11,7,4,1
1,49,1,39,39,4,1,12,8,11
1,49,1,40,40,12,4,3,5,1
1,49,1,41,41,9,12,7,5,1
1,49,1,42,42,3,5,9,1,4
1,49,1,43,43,7,1,3,8,11
1,49,1,44,44,3,9,7,4,5
1,49,1,45,45,8,7,5,11,4
1,49,1,46,46,12,7,3,8,1
1,49,1,47,47,9,1,12,7,5
1,49,1,48,48,7,9,12,1,11
1,49,1,49,49,11,5,1,8,9
1,49,1,50,50,9,11,12,8,1
1,49,1,51,51,5,12,11,1,4
1,49,1,52,52,8,12,5,3,7
1,49,1,53,53,5,11,7,4,9
1,49,1,54,54,4,11,9,1,3
1,49,1,55,55,3,12,7,11,8
1,49,1,56,56,3,7,8,5,12
1,49,1,57,57,3,8,1,4,7
1,49,1,58,58,8,3,1,4,11
1,49,1,59,59,8,5,7,4,3
1,49,1,60,60,8,7,1,11,4
1,49,1,61,61,11,5,1,12,7
1,49,1,62,62,1,5,3,8,7
1,49,1,63,63,12,3,9,7,5
1,49,1,64,64,3,1,4,12,9
1,49,1,65,65,5,4,9,3,7
1,49,1,66,66,undervote,undervote,undervote,undervote,undervote
1,49,1,67,67,8,4,11,12,1
1,49,1,68,68,9,5,1,12,8
